video_id,title,duration_seconds,days_since_upload,views,likes,comments,channel_title,subscribers
gj01NibBIaA,NEW PlayStation 5 GAMES (Trailer) 4K | Upcoming GAMES 2025/2026,2186,45,57751,400,19,PlayStationEmpire ,32500
LolvNzj0OBo,"20 NEW Upcoming Open World Games of 2025 & 2026 | PS5, PC, Xbox Series X, PS4, XB1, NS",1482,53,15248,154,10,OKtrix,33000
mJrFituE7QE,Next Xbox and PS6 Coming in 2026? - Price & Features Revealed |  Playstation 6 Next Xbox Console,612,115,367539,5379,1230,colteastwood,181000
rlaHhLNJa9M,HALLOWEEN THE GAME (2026) Everything You Need To Know! #Halloweenthegame,102,60,5125,330,26,GullGotha,1110
0H3QsiwJgIc,15 HUGE RPG's Coming to XBOX & GAME PASS in 2026!,740,21,15068,391,40,Xbox Nation,75200
cosqQky30vY,Best Games Coming Out 2026!!,21,112,13506,122,15,YoBoiKobe,1660
PsbC33DqjZk,Top 15 NEW Upcoming Games We Can't BELIEVE Are Real,1687,22,28596,678,67,MathChief - The Best of Gaming!,799000
AUezNbP4aDs,NEW 40 BIGGEST GAMES Coming in 2025 or 2026 With AMAZING NEXT GEN GRAPHICS,4844,189,482375,3790,189,Fire Mythx,26400
PxHcsRYbQjg,It's 2026☠️ #gta6 #fifa  #shorts,32,89,3604647,94725,2452,SL MASTER LIVE,64900
DgONmeK1h18,NEW LEGO BATMAN VIDEO GAME RELEASING IN 2026,34,62,246868,13301,315,Ashnflash,330000
TkjOqFYfNDA,"Top Upcoming ""Big"" RPGs of 2026 & Beyond (Most Anticipated Games & Why)🔥",1810,61,118140,3420,599,WolfheartFPS,239000
OP6OjwowbMQ,The Best New Upcoming City Building Games in 2026,1905,32,69416,1290,140,GamerZakh,220000
407jvXNKhwU,THE TOP 10/10 UPCOMING GAMES RELEASING IN 2026 #gaming #gamingreview #playstation #pcgaming #ps5,15,108,8344,73,3,EASY STRATEGY GAMING,524
d2kX9wWfj-o,New game coming 2026 epic medieval warfare who is ready #shorts #medieval #gaming,22,126,26166,733,158,Dom Awesome,1150
vqSFjYawfn4,"TOP 20 NEW Upcoming Single Player Games of 2025 & 2026 With CRAZY Graphics | PS5, PC, Xbox Series X",1240,49,12478,141,4,OKtrix,33000
uTsebmrsM3g,NEW PS5 Games to Play Now & Coming 2025/2026 (4K Trailer),2117,41,20499,161,13,PlayStationEmpire ,32500
x-xelO_xyfA,2025 MIGHT be goated for gaming 😭🎮,17,292,11422359,462662,25034,BucketJosh,1690000
QH14Hd-Hs-M,2026 💀🥶🔥 #Shorts #Movies #Games #Edit #Capcut,61,291,2916392,100329,1158,Evolution Short .47,5220000
km9pG_fcQV8,TOP 25 ULTRA REALISTIC REC Horror Games coming in 2025 and 2026,2823,13,19015,438,21,ENFANT TERRIBLE,450000
qb-OeUjYYeM,Juegos antiguos que volverán en 2026 🎮,48,8,18603,1393,12,Curiomaniac,315000
JX7iMEUXqTg,TOP 30 BIGGEST NEW Games coming in 2026 and Beyond with NEXT GEN GRAPHICS,3375,16,62442,704,51,ENFANT TERRIBLE,450000
VDpNk2qJGqo,The next gen Xbox console JUST LEAKED 😳 #xbox #gaming,68,287,580909,23519,3257,Blue Thunder Gaming ,151000
VpWlzn0GTOc,Epic NEW PS5 Games Out Now & Releasing Soon (2025/2026),2016,10,5783,61,2,PlayStationEmpire ,32500
